CMIP6 name,RCMIP name,RCMIP category,longname,unit,warnings,variables of OSCAR used for calculation,OSCAR-CDRMIP,OSCAR-ZECMIP,OSCAR-LUMIP,OSCAR-RCMIP,OSCAR-CMIP6
,Cumulative Emissions|CO2|MAGICC Fossil and Industrial,Cumulative Emissions,"cumulative carbon dioxide emissions from energy use on supply and demand side (IPCC category 1A, 1B), industrial processes (IPCC category 2), waste (IPCC category 4) and other (IPCC category 5)",Mt CO2,,['Eff'],0,0,0,1,0
,Cumulative Emissions|CO2|Other,Cumulative Emissions,cumulative carbon dioxide emissions from other sources (please provide a definition of other sources in this category in the 'comments' tab),Mt CO2,,[],0,0,0,0,0
,Effective Radiative Forcing,Effective Radiative Forcing,effective radiative forcing from all anthropogenic and natural sources (after stratospheric temperature adjustments and rapid adjustments) ,W/m^2,,['RF_warm'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic,Effective Radiative Forcing,effective radiative forcing from all anthropogenic sources (after stratospheric temperature adjustments and rapid adjustments) ,W/m^2,,"['RF_wmghg','RF_slcf','RF_BCsnow','RF_lcc','RF_contr']",0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Aerosols,Effective Radiative Forcing,effective radiative forcing from aerosols (after stratospheric temperature adjustments and rapid adjustments) ,W/m^2,,['RF_AERtot'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-cloud Interactions,Effective Radiative Forcing,effective radiative forcing from indirect effects of aerosols on clouds (after stratospheric temperature adjustments and rapid adjustments) ,W/m^2,,['RF_cloud'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions,Effective Radiative Forcing,"effective radiative forcing from aerosol-radiative effects (after stratospheric temperature adjustments and rapid adjustments), note that the breakdown of this variable can come in multiple different forms",W/m^2,,"['RF_scatter','RF_absorb']",0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|BC and OC|BC,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from black carbon emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,['RF_BC'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|BC and OC|BC|Biomass Burning,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from black carbon biomass burning emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,['D_Ebb'],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|BC and OC|BC|Fossil and Industrial,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from black carbon fossil and industrial emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,['E_BC'],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|BC and OC|BC|Other,Effective Radiative Forcing,"effective radiative forcing from aerosol-radiative effects from black carbon emissions (after stratospheric temperature adjustments and rapid adjustments), other contributions to the ERF. Please specify in the comments.",W/m^2,Effect of temperature on tropospheric burden of primary organic aerosols / OC,['D_Tg'],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|BC and OC|OC,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from organic carbon emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,['RF_POA'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|BC and OC|OC|Biomass Burning,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from organic carbon biomass burning emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,['D_Ebb'],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|BC and OC|OC|Fossil and Industrial,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from organic carbon fossil and industrial emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,['E_OC'],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|BC and OC|OC|Other,Effective Radiative Forcing,"effective radiative forcing from aerosol-radiative effects from organic carbon emissions (after stratospheric temperature adjustments and rapid adjustments), other contributions to the ERF. Please specify in the comments.",W/m^2,Effect of temperature on tropospheric burden of primary organic aerosols / OC,['D_Tg'],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|Biomass Burning,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from biomass burning emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,[],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|Biomass Burning|BC and OC,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from black and organic carbon biomass burning emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,[],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|Biomass Burning|BC and OC|BC,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from black carbon biomass burning emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,[],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|Biomass Burning|BC and OC|OC,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from organic carbon biomass burning emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,[],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|Biomass Burning|NH3,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from ammonia biomass burning emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,[],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|Biomass Burning|Nitrate,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from nitrate precursor biomass burning emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,[],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|Biomass Burning|Sulfate,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from sulfate precursor biomass burning emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,[],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|Fossil and Industrial,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from fossil and industrial emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,[],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|Fossil and Industrial|BC and OC,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from black and organic carbon fossil and industrial emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,[],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|Fossil and Industrial|BC and OC|BC,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from black carbon fossil and industrial emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,[],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|Fossil and Industrial|BC and OC|OC,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from organic carbon fossil and industrial emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,[],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|Fossil and Industrial|NH3,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from ammonia fossil and industrial emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,[],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|Fossil and Industrial|Nitrate,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from nitrate precursor fossil and industrial emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,[],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|Fossil and Industrial|Sulfate,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from sulfate precursor fossil and industrial emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,[],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|Mineral Dust,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from mineral dust emissions (after stratospheric temperature adjustments and rapid adjustments) ,W/m^2,,['RF_dust'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|NH3,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from ammonia emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,[],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|NH3|Biomass Burning,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from ammonia biomass burning emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,[],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|NH3|Fossil and Industrial,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from ammonia fossil and industrial emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,[],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|Nitrate,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from nitrate precursor emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,ERF from nitrates is calculated using NOx and NH3.,['RF_NO3'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|Nitrate|Biomass Burning,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from nitrate precursor biomass burning emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,['D_Ebb'],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|Nitrate|Fossil and Industrial,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from nitrate fossil and industrial emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,"['E_NOX','E_NH3']",0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|Nitrate|Other,Effective Radiative Forcing,"effective radiative forcing from aerosol-radiative effects from nitrate  emissions (after stratospheric temperature adjustments and rapid adjustments), other contributions to the ERF. Please specify the details in the comments",W/m^2,Effect of temperature on tropospheric burden of primary organic aerosols / OC,['D_Tg'],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|Other,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects not covered in the other categories (after stratospheric temperature adjustments and rapid adjustments) (please specify in comments),W/m^2,Calculated as the sum of secondary organic aerosols and sea salts,"['RF_SOA','RF_salt']",0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|Other|Secondary Organic Aerosols,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects not covered in the other categories (after stratospheric temperature adjustments and rapid adjustments) (please specify in comments),W/m^2,SOA only,['RF_SOA'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|Other|Sea salts,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects not covered in the other categories (after stratospheric temperature adjustments and rapid adjustments) (please specify in comments),W/m^2,Sea salts only,['RF_salt'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|Sulfate,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from sulfate precursor emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,['RF_SO4'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|Sulfate|Biomass Burning,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from sulfate precursor biomass burning emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,['D_Ebb'],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|Sulfate|Fossil and Industrial,Effective Radiative Forcing,effective radiative forcing from aerosol-radiative effects from sulfate precursor fossil and industrial emissions (after stratospheric temperature adjustments and rapid adjustments),W/m^2,,['E_SO2'],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Aerosols|Aerosols-radiation Interactions|Sulfate|Other,Effective Radiative Forcing,"effective radiative forcing from aerosol-radiative effects from sulfate precursor emissions (after stratospheric temperature adjustments and rapid adjustments), other contributions to the ERF. Please specify the details in the comments",W/m^2,Contributions from effects of temperature and DMS emissions,"['D_Tg','D_Edms']",0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Albedo Change,Effective Radiative Forcing,effective radiative forcing from albedo change (after stratospheric temperature adjustments and rapid adjustments) ,W/m^2,"Sum of change in albedo from land cover change and change in albedo from deposition of black carbon on snow. Here, difference in-between RF and ERF","['RF_BCsnow','RF_lcc']",0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Albedo Change|Deposition of Black Carbon on Snow,Effective Radiative Forcing,"effective radiative forcing from albedo change (after stratospheric temperature adjustments and rapid adjustments), contribution from deposition of black carbon on snow.",W/m^2,"Here, difference in-between RF and ERF",['RF_BCsnow'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Albedo Change|Land Cover Change,Effective Radiative Forcing,"effective radiative forcing from albedo change (after stratospheric temperature adjustments and rapid adjustments), contribution from LCC.",W/m^2,"Here, difference in-between RF and ERF",['RF_lcc'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|CH4,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CH4,W/m^2,,['RF_CH4'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|CO2,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CO2,W/m^2,,['RF_CO2'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|F-Gases,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of F-gases,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|F-Gases|HFC,Effective Radiative Forcing,"effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of hydrofluorocarbons (HFCs, as defined by Table 8.A.1 of AR5) not controlled under the Montreal protocol",W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|F-Gases|HFC|HFC125,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HFC125,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|F-Gases|HFC|HFC134a,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HFC134a,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|F-Gases|HFC|HFC143a,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HFC143a,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|F-Gases|HFC|HFC152a,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HFC152a,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|F-Gases|HFC|HFC227ea,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HFC227ea,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|F-Gases|HFC|HFC23,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HFC23,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|F-Gases|HFC|HFC236fa,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HFC236fa,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|F-Gases|HFC|HFC245fa,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HFC245fa,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|F-Gases|HFC|HFC32,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HFC32,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|F-Gases|HFC|HFC365mfc,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HFC365mfc,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|F-Gases|HFC|HFC4310mee,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HFC43-10mee,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|F-Gases|NF3,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of nitrogen trifluoride (NF3),W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|F-Gases|PFC,Effective Radiative Forcing,"effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of perfluorocarbons (PFCs, as defined by Table 8.A.1 of AR5)",W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|F-Gases|PFC|C2F6,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of C2F6,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|F-Gases|PFC|C3F8,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of C3F8,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|F-Gases|PFC|C4F10,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of C4F10,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|F-Gases|PFC|C5F12,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of C4F10,W/m^2,OSCAR represents C5F12.,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|F-Gases|PFC|C6F14,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of C6F14,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|F-Gases|PFC|C7F16,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of C7F16,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|F-Gases|PFC|C8F18,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of C8F18,W/m^2,,[],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|F-Gases|PFC|cC4F8,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of c-C4F8,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|F-Gases|PFC|CF4,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CF4,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|F-Gases|SF6,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of sulfur hexafluoride (SF6),W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|F-Gases|SO2F2,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of sulfuryl fluoride (SO2F2),W/m^2,,[],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Montreal Gases,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of Montreal gases,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Montreal Gases|CCl4,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CCl4,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Montreal Gases|CFC,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CFC gases (as defined by Table 8.A.1 of AR5),W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Montreal Gases|CFC|CFC11,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CFC11,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Montreal Gases|CFC|CFC113,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CFC113,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Montreal Gases|CFC|CFC114,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CFC114,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Montreal Gases|CFC|CFC115,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CFC115,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Montreal Gases|CFC|CFC12,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CFC12,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Montreal Gases|CH2Cl2,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CH2Cl2,W/m^2,,[],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Montreal Gases|CH3Br,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CH3Br,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Montreal Gases|CH3CCl3,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CH3CCl3,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Montreal Gases|CH3Cl,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CH3Cl,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Montreal Gases|CHCl3,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CHCl3,W/m^2,,[],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Montreal Gases|Halon1202,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of Halon-1202,W/m^2,Not in inputs/outputs,[],0,0,0,0,0
,Effective Radiative Forcing|Anthropogenic|Montreal Gases|Halon1211,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of Halon-1211,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Montreal Gases|Halon1301,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of Halon-1301,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Montreal Gases|Halon2402,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of Halon-2402,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Montreal Gases|HCFC141b,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HCFC141b,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Montreal Gases|HCFC142b,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HCFC22,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Montreal Gases|HCFC22,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HCFC22,W/m^2,,['RF_Xhalo'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|N2O,Effective Radiative Forcing,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of N2O,W/m^2,,['RF_N2O'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Other,Effective Radiative Forcing,effective radiative forcing from factors not covered in other categories (after stratospheric temperature adjustments and rapid adjustments) ,W/m^2,Stratospheric water vapour,['RF_H2Os'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Stratospheric Ozone,Effective Radiative Forcing,effective radiative forcing from stratospheric ozone (after stratospheric temperature adjustments and rapid adjustments) ,W/m^2,,['RF_O3s'],0,0,0,1,0
,Effective Radiative Forcing|Anthropogenic|Tropospheric Ozone,Effective Radiative Forcing,effective radiative forcing from tropospheric ozone (after stratospheric temperature adjustments and rapid adjustments) ,W/m^2,,['RF_O3t'],0,0,0,1,0
,Effective Radiative Forcing|Natural,Effective Radiative Forcing,"effective radiative forcing from all natural drivers, i.e. solar and volcanic forcing (after stratospheric temperature adjustments and rapid adjustments) ",W/m^2,"Here, difference in-between RF and ERF","['RF_solar','RF_volc']",0,0,0,1,0
,Effective Radiative Forcing|Natural|Solar,Effective Radiative Forcing,effective radiative forcing from variations in solar irradience (after stratospheric temperature adjustments and rapid adjustments) ,W/m^2,,['RF_solar'],0,0,0,1,0
,Effective Radiative Forcing|Natural|Volcanic,Effective Radiative Forcing,effective radiative forcing due to volcanic eruptions (after stratospheric temperature adjustments and rapid adjustments) ,W/m^2,"Here, difference in-between RF and ERF",['RF_volc'],0,0,0,1,0
,Emissions|BC,Emissions,total black carbon emissions,Mt BC/yr,"Sum of BC emissions from AFOLU, FFI, anthropogenic AND natural biomass burning.","['E_BC','D_Ebb']",0,0,0,1,0
,Emissions|BC|MAGICC AFOLU,Emissions,"black carbon emissions from agriculture, forestry and other land use (IPCC category 3), excluding any fossil-fuel based emissions in the Agricultural sector (hence not identical to WG3 AFOLU)",Mt BC/yr,,[],0,0,0,0,0
,Emissions|BC|MAGICC Fossil and Industrial,Emissions,"black carbon emissions from energy use on supply and demand side (IPCC category 1A, 1B), industrial processes (IPCC category 2), waste (IPCC category 4) and other (IPCC category 5)",Mt BC/yr,,[],0,0,0,0,0
,Emissions|BC|Other,Emissions,black carbon emissions from other sources (please provide a definition of other sources in this category in the 'comments' tab),Mt BC/yr,BC emissions from anthropogenic AND natural biomass burning.,['D_Ebb'],0,0,0,1,0
,Emissions|CH4,Emissions,total methane emissions,Mt CH4/yr,"Sum of CH4 emissions AFOLU, FFI and anthropogenic biomass burning. Natural biomass burning of CH4 is in the category ""Net Land to Atmosphere Flux|CH4|Earth System Feedbacks|Other|Natural Biomass Burning"".","['E_CH4','D_Ebb_ant']",0,0,0,1,0
,Emissions|CH4|MAGICC AFOLU,Emissions,"methane emissions from agriculture, forestry and other land use (IPCC category 3), excluding any fossil-fuel based emissions in the Agricultural sector (hence not identical to WG3 AFOLU)",Mt CH4/yr,,[],0,0,0,0,0
